#{"t_start": 1762788408.883086, "env_id": "None"}
r,l,t
-49.938054,1,28.397206
-49.938054,1,28.509524
-49.938054,1,28.620725
-49.938054,1,28.73186
-49.938054,1,28.843737
-49.938054,1,28.955116
-49.938054,1,29.066403
-49.938054,1,29.183107
-49.938054,1,29.29441
-49.938054,1,29.40544
-49.938054,1,29.516607
-49.938054,1,29.62773
-49.938054,1,29.739967
-49.938054,1,29.851463
-49.938054,1,29.963201
-49.938054,1,30.074859
-49.938054,1,30.186582
-49.938054,1,30.301114
-49.938054,1,30.412696
-49.938054,1,30.523874
-49.938054,1,30.635319
-49.938054,1,30.746481
-49.938054,1,30.857501
-49.938054,1,30.969462
-49.938054,1,31.081192
-49.938054,1,31.192323
-49.938054,1,31.304221
-49.938054,1,31.419195
-49.938054,1,31.530451
-49.938054,1,31.641718
-49.938054,1,31.753306
-49.938054,1,31.86499
-49.938054,1,31.976367
-49.938054,1,32.087827
-49.938054,1,32.199861
-49.938054,1,32.311568
-49.938054,1,32.422651
-49.938054,1,32.537414
-49.938054,1,32.649053
-49.938054,1,32.760182
-49.938054,1,32.871487
-49.938054,1,32.983171
-49.938054,1,33.094321
-49.938054,1,33.206191
-49.938054,1,33.317847
-49.938054,1,33.428875
-49.938054,1,33.539925
-49.938054,1,33.655654
-49.938054,1,33.767718
-49.938054,1,33.87901
-49.938054,1,33.990239
-49.938054,1,34.102009
-49.938054,1,34.213307
-49.938054,1,34.324388
-49.938054,1,34.435578
-49.938054,1,34.547211
-49.938054,1,34.660291
-49.938054,1,34.774777
-49.938054,1,34.885881
-49.938054,1,34.996882
-49.938054,1,35.107991
-49.938054,1,35.219163
-49.938054,1,35.330313
-49.938054,1,35.441452
-49.938054,1,35.55265
-49.938054,1,35.663618
-49.938054,1,35.775106
-49.938054,1,35.89091
-49.938054,1,36.002497
-49.938054,1,36.114044
-49.938054,1,36.22523
-49.938054,1,36.336681
-49.938054,1,36.447866
-49.938054,1,36.558881
-49.938054,1,36.670356
-49.938054,1,36.781317
-49.938054,1,36.892526
-49.938054,1,37.006955
-49.938054,1,37.118127
-49.938054,1,37.22918
-49.938054,1,37.340655
-49.938054,1,37.452035
-49.938054,1,37.563134
-49.938054,1,37.674201
-49.938054,1,37.785453
-49.938054,1,37.896531
-49.938054,1,38.007609
-49.938054,1,38.123069
-49.938054,1,38.23436
-49.938054,1,38.345345
-49.938054,1,38.456593
-49.938054,1,38.56757
-49.938054,1,38.678574
-49.938054,1,38.789687
-49.938054,1,38.900726
-49.938054,1,39.011792
-49.938054,1,39.123073
-49.938054,1,39.237734
-49.938054,1,39.349035
-49.938054,1,39.460634
-49.938054,1,39.572059
-49.938054,1,39.683118
-49.938054,1,39.794308
-49.938054,1,39.905587
-49.938054,1,40.016644
-49.938054,1,40.127914
